ID,Unit,Facie,depth,MS,Den,FP,TS,TC,TIC,TOC,BioSi,TN,TOC/TN,d15N,d13C,Montmorillonite,Muscovite,Talc,Riebeckite,Clinochlore,Microcline,Quartz,Albite,Amorphous
"CHILL-LEM13-3A-1U, 91-92 cm",U3,D4,135,,,,2.9299,2.7926,0,2.7926,,,,1.7885771497,-29.5277095754,,,,,,,,,
"CHILL-LEM13-3A-1U, 92-93 cm",U3,T6,136,105.9211,1.3859,0.7755,0.68129,0.94106,0.091865,0.849195,13.147662105,0.46689,2.1219719848,,,Present,0.424,0,Present,Present,0,0.281,9.539,25.62
"CHILL-LEM13-3A-1U, 93-94 cm",U3,D3,137,,,,0.62724,4.029,0.1763,3.8527,26.6167786377,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 94-95 cm",U3,D4,138,82.7408,1.3462,0.7999,1.2054,3.7134,0.013932,3.699468,25.5633058117,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 95-96 cm",U3,D4,139,,,,1.0813,3.8721,0,3.8721,,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 96-97 cm",U3,D5,140,61.7382,1.3878,0.7744,0.59046,4.575,0,4.575,23.1877965155,0.49373,10.8105644786,2.3945192074,-25.7571840693,0,0,0.326,0,Present,Present,1.487,2.046,38.22
"CHILL-LEM13-3A-1U, 97-98 cm",U3,D5,141,,,,0.34336,4.4986,0,4.4986,23.4535784101,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 98-99 cm",U3,D3,142,49.305,1.367,0.7871,0.30429,4.1,0.92235,3.17765,22.2280578365,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 99-100 cm",U3,D3,143,,,,0.80814,4.0238,0,4.0238,22.5496425036,0.46444,10.1077283036,,,0,0,0.461,Present,0,Present,0.977,5.731,38.14
"CHILL-LEM13-3A-1U, 100-101 cm",U3,D4,144,41.2777,1.3561,0.7938,0.62832,3.537,0,3.537,,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 101-102 cm",U3,D3,145,,,,0.72379,3.9137,0,3.9137,24.0052848567,,,1.6599029993,-27.2083412072,,,,,,,,,
"CHILL-LEM13-3A-1U, 102-103 cm",U3,D5,146,36.4026,1.3808,0.7786,1.0422,4.4538,0.011396,4.442404,22.8690770519,,,,,,,,,,,,,
CHILL-LEM13-3A-1U 103-104 cm,U3,D3,147,,,,1.102,3.9618,0.088734,3.873066,23.8179663269,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 104-105 cm",U3,D4,148,34.7136,1.3657,0.7879,0.8186,3.2742,0.22016,3.05404,22.828689233,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 105-106 cm",U3,D5,149,,,,1.1642,4.4597,0,4.4597,23.9135979606,0.44,11.8249621212,,,0.182,Present,0.159,Present,0.415,0.582,2.12,3.919,53.1
"CHILL-LEM13-3A-1U, 106-107 cm",U3,D5,150,32.801,1.3931,0.7711,1.2038,4.0375,0.12947,3.90803,23.6454711958,,,2.0896934879,-28.556027538,,,,,,,,,
"CHILL-LEM13-3A-1U, 107-108 cm",U3,D4,151,,,,1.4187,3.489,0.14361,3.34539,23.4676856981,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 108-109 cm",U3,D4,152,30.6274,1.3987,0.7677,1.2391,3.5871,0.71128,2.87582,23.6788008901,,,,,,,,,,,,,
"CHILL-LEM13-3A-1U, 109-110 cm",U3,D5,153,,,,1.3101,3.943,0.063887,3.879113,23.4434290856,0.452,10.0124598083,,,Present,0,Present,Present,0,0.113,0.844,1.725,45.78
"CHILL-LEM13-3A-1U, 110-111 cm",U3,D5,154,28.8909,1.3839,0.7768,0.91525,3.9291,0.066463,3.862637,22.6634765174,,,,,,,,,,,,,
